trend_id,product_group_id,trend_description,start_date,end_date,trend_impact,region,market_share,growth_rate,created_at,updated_at
191,26,Increase in demand for 4K TVs,2023-04-08,2020-02-10,Positive,Europe,48.44,5.08,2020-04-29 11:55:37,2020-12-04 14:53:33
192,25,Increase in demand for drones,2024-04-02,2020-05-17,Neutral,North America,99.42,-0.03,2020-11-26 11:53:50,2022-01-06 23:56:43
193,40,Expansion of wireless earbuds market,2021-11-24,2022-02-19,Negative,Australia,69.4,-9.97,2023-09-16 17:35:31,2021-06-28 19:01:02
194,7,High sales of gaming consoles,2023-02-15,2023-09-04,Negative,Australia,34.12,-6.81,2021-11-13 01:25:06,2022-12-24 15:26:41
195,37,Growth in wearable technology market,2021-08-01,2022-07-21,Negative,Asia,56.45,-0.23,2021-11-02 13:08:09,2023-06-28 22:05:30
196,36,Rise in popularity of smart home devices,2020-12-18,2021-04-23,Positive,North America,40.05,6.22,2020-10-09 12:30:48,2021-05-28 05:50:32
197,3,Rise in popularity of smart home devices,2023-07-10,2021-03-02,Positive,Europe,62.85,-6.59,2022-12-22 19:27:08,2024-03-22 01:06:15
198,20,Growth in wearable technology market,2022-08-15,2024-05-17,Positive,Asia,83.68,7.04,2024-07-02 17:20:55,2020-04-20 00:03:06
199,22,Rise in portable power bank market,2022-01-12,2020-12-05,Neutral,North America,79.08,2.85,2020-08-21 16:47:53,2021-09-08 19:31:47
200,49,Increase in electric bike market,2020-09-10,2022-06-26,Positive,Asia,57.57,-0.51,2023-03-27 03:27:39,2022-07-05 22:32:24
